nodeId,nodeType,entityId,label
C_k30,COHORT,k30,K30
C_k31,COHORT,k31,K31
C_k32,COHORT,k32,K32
C_k33,COHORT,k33,K33
C_k34,COHORT,k34,K34
C_k35,COHORT,k35,K35
C_k36,COHORT,k36,K36
C_k37,COHORT,k37,K37
C_k38,COHORT,k38,K38
C_k39,COHORT,k39,K39
C_k40,COHORT,k40,K40
C_k41,COHORT,k41,K41
C_k42,COHORT,k42,K42
C_k43,COHORT,k43,K43
C_k44,COHORT,k44,K44
C_k45,COHORT,k45,K45
D_018dfd55-267f-4a13-8195-fe0980da7f7f,DOCUMENT,018dfd55-267f-4a13-8195-fe0980da7f7f,Kinh tế môi trường
D_02152b68-76a8-4dea-be7f-dfabd60d64fc,DOCUMENT,02152b68-76a8-4dea-be7f-dfabd60d64fc,Truyền thông tích hợp
D_03bd1972-b39a-42e5-8ec6-7df9744eab92,DOCUMENT,03bd1972-b39a-42e5-8ec6-7df9744eab92,Giao tiếp tiếng Anh thương mại
D_07e9f472-8e83-437d-8b88-c8ccd664758f,DOCUMENT,07e9f472-8e83-437d-8b88-c8ccd664758f,Hệ thống tưới tiêu
D_0bacd07c-c4aa-468b-b090-a32242b08a11,DOCUMENT,0bacd07c-c4aa-468b-b090-a32242b08a11,Thanh toán quốc tế
D_0bff6819-b876-4478-823e-d9b52cb8f5ee,DOCUMENT,0bff6819-b876-4478-823e-d9b52cb8f5ee,Content marketing cho mạng xã hội
D_0c2db546-72f1-4731-8cbf-f761e3d77fbb,DOCUMENT,0c2db546-72f1-4731-8cbf-f761e3d77fbb,Giáo dục hòa nhập
D_0c69b65e-1793-4a20-9115-7564e6076a97,DOCUMENT,0c69b65e-1793-4a20-9115-7564e6076a97,Sản xuất nội dung số
D_0dc0c505-6f9c-475d-aa15-2ab5773107ea,DOCUMENT,0dc0c505-6f9c-475d-aa15-2ab5773107ea,Kiểm toán căn bản
D_0f737fdc-b2cb-40b0-87ea-1921f6793dc4,DOCUMENT,0f737fdc-b2cb-40b0-87ea-1921f6793dc4,Kỹ năng cố vấn học tập
D_1015d097-5d82-4ce1-9dac-1d73807e382d,DOCUMENT,1015d097-5d82-4ce1-9dac-1d73807e382d,Kinh tế nông nghiệp
D_12f883f3-d530-48f1-902d-90cea8dd21b8,DOCUMENT,12f883f3-d530-48f1-902d-90cea8dd21b8,Dự toán xây dựng
D_143fe5bd-9a20-4b4d-9b73-de296836e404,DOCUMENT,143fe5bd-9a20-4b4d-9b73-de296836e404,Phát triển bền vững
D_166e19d9-57a9-4a50-8f2c-912c19d2bd84,DOCUMENT,166e19d9-57a9-4a50-8f2c-912c19d2bd84,Kỹ thuật trồng trọt
D_1756f62b-88c5-41f8-aa54-a21bac2a86a3,DOCUMENT,1756f62b-88c5-41f8-aa54-a21bac2a86a3,Thủy sản căn bản
D_208db906-31ed-4e5f-9b43-d8b88ae5bbaa,DOCUMENT,208db906-31ed-4e5f-9b43-d8b88ae5bbaa,An toàn thông tin
