userId,email,displayName,interests,school,major,cohort,role,status,profileVisibility
00011052-b71e-5d93-a12d-b4e8b200fbdf,fb_3221@facebook-combined.local,Trần Thị Hương,"Quan tâm đến bạn bè, cộng đồng và những hoạt động mang lại giá trị thực tế.",Đại học Quy Nhơn,Giáo dục tiểu học,K33,USER,ACTIVE,PUBLIC
00070f68-8cae-590f-aad0-ce7bf65d54e5,fb_901@facebook-combined.local,Trần Đức Châu,"Quan tâm đến bạn bè, cộng đồng và những hoạt động mang lại giá trị thực tế.",Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Quan hệ công chúng,K38,USER,ACTIVE,PUBLIC
001409a7-980b-5ecf-9f54-2a8c2953bf6c,fb_2331@facebook-combined.local,Hồ Gia Hải,"Ưu tiên các mối quan hệ chân thành, giao tiếp rõ ràng và hỗ trợ lẫn nhau.",Đại học Nông Lâm TP.HCM,Chăn nuôi,K35,USER,ACTIVE,PUBLIC
0028d64f-183d-53f5-8017-7713f18eb0da,fb_882@facebook-combined.local,Lê Bảo Châu,"Thích trò chuyện, làm việc nhóm và lan tỏa những điều hữu ích đến mọi người.",Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Quan hệ công chúng,K41,USER,ACTIVE,PUBLIC
0031cb49-1320-525a-8e72-3abf339f05ea,fb_430@facebook-combined.local,Đỗ Quang Bình,"Yêu thích môi trường cởi mở, nơi mọi người có thể chia sẻ và phát triển cùng nhau.",Học viện Báo chí và Tuyên truyền,Truyền thông đa phương tiện,K34,USER,ACTIVE,PUBLIC
0044bd06-1952-5928-a018-8a4e95898deb,fb_511@facebook-combined.local,Hồ Hữu Bình,"Thích kết bạn, mở rộng mạng lưới quan hệ và học thêm từ những góc nhìn khác nhau.",Đại học Kinh tế Quốc dân,Kinh tế,K38,USER,ACTIVE,PUBLIC
00561344-6ecd-5acc-b287-97d861ca44c0,fb_3594@facebook-combined.local,Lý Hoài Khang,"Thích trò chuyện, làm việc nhóm và lan tỏa những điều hữu ích đến mọi người.",Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Quản lý tài nguyên,K35,USER,ACTIVE,PUBLIC
00588d2b-423b-5083-9405-f8de0345638d,fb_2188@facebook-combined.local,Đặng Đức Hà,"Thường xuyên tìm kiếm ý tưởng mới, kết nối mới và cơ hội hợp tác phù hợp.",Đại học Luật Hà Nội,Luật kinh tế,K35,USER,ACTIVE,PUBLIC
00631570-c56b-5fb9-826d-c233bde552b2,fb_3889@facebook-combined.local,Bùi Minh Linh,"Quan tâm đến công nghệ, học hỏi mỗi ngày và xây dựng cộng đồng tích cực.",Đại học Y tế Công cộng,Y tế công cộng,K41,USER,ACTIVE,PUBLIC
00673167-2200-523d-b88f-9332e9331f7d,fb_1094@facebook-combined.local,Lý Thanh Dũng,"Yêu thích môi trường cởi mở, nơi mọi người có thể chia sẻ và phát triển cùng nhau.",Đại học Nông Lâm TP.HCM,Chăn nuôi,K32,USER,ACTIVE,PUBLIC
0077333f-17b8-545f-b4ed-9ed642a6d921,fb_3004@facebook-combined.local,Hoàng Thanh Huy,"Thường xuyên tìm kiếm ý tưởng mới, kết nối mới và cơ hội hợp tác phù hợp.",Đại học Xây dựng Hà Nội,Kỹ thuật xây dựng,K42,USER,ACTIVE,PUBLIC
008160e1-e588-58e4-9ae4-1d98465fb6d8,fb_740@facebook-combined.local,Nguyễn Quang Châu,"Thường xuyên tìm kiếm ý tưởng mới, kết nối mới và cơ hội hợp tác phù hợp.",Đại học Bách khoa Hà Nội,Công nghệ thông tin,K32,USER,ACTIVE,PUBLIC
